feature,importance
max_gap_between_updates,0.25596187
biometric_time_to_update,0.16353121
name_missing,0.12173751
name_time_to_update_log,0.10349442
address_missing,0.08850517
biometric_time_to_update_log,0.05954612
mobile_window_completed,0.040833954
address_time_to_update,0.040274825
mobile_missing,0.034885015
avg_gap_between_updates,0.03432369
gap_mobile_to_address,0.030452173
name_window_completed,0.013005884
name_time_to_update,0.009171045
biometric_missing,0.0038287311
address_time_to_update_log,0.00035242867
gap_address_to_name,4.2913776e-05
mobile_time_to_update,3.8499693e-05
gap_biometric_to_mobile,1.4533258e-05
state_completion_rate,0.0
name_is_late,0.0
state_encoded,0.0
mobile_time_to_update_log,0.0
urban_rural_completion_rate,0.0
urban_rural_encoded,0.0
pincode,0.0
address_is_late,0.0
mobile_is_late,0.0
gender_encoded,0.0
eighteenth_birthday_year,0.0
eighteenth_birthday_quarter,0.0
eighteenth_birthday_month,0.0
eighteenth_birthday_dow,0.0
district_encoded,0.0
district_completion_rate,0.0
demographic_updates_count,0.0
current_age,0.0
biometric_window_completed,0.0
biometric_updates_count,0.0
biometric_is_late,0.0
address_window_completed,0.0
years_between_enrolment_and_18,0.0
